question,answer1,answer2,answer3,hint,correct answer
Which is the correct main method signature?,public static main(String args) {  },public static (String[ ] args) {  },public static main(String[ ] wow) {   },The main thing is to undersand that parameter variable names can be changed.,answer 3
What is used to debug Java programs? ,JVM,JFX,JDB,The acronym describes it's function,answer3
"What is the initial quantity of a newly-created, empty ArrayList?",5,10,15,The initial quanitity is the default quantity,answer2
Which of the following is a mutable class?,String,StringBuilder,Byte,Mutable means it can be changed after creation,answer2
What do you declare a method to keep from overriding it?,static,final,abstract,Method will not be changed,answer2
What is a more efficient way of doing nested if - else if statements?,switch,break,continue,You can also use this to turn on a light,answer1
How many primitive data types are in Java?,6,8,12,"Primitive types are the most basic types, like int and char.",answer2
In Java the word 'true' is . . .,a boolean literal,an instance of a boolean object,a Halloween character,True only uses about 8 -16 bytes of memory,answer1
Which operator will find the reamainder when performing division?,*,%,/,You have about a 33% chance of gettig the correct answer.,answer2
What is the value of x? int x = (3 + 4) * 2,11,14,24,PEMDAS,answer2
What must stay the same in order to overload a method?,the return type,the arguments,the name,String,answer3
Which option is considered the 'blue print'?,the class,the object,the instance,It's not the object or the instance,answer1
"If you try to print an ArrayList directly using System.out.println() only, what will be sent to the console?",The items of the arrayList in a String,Only the numeric items in the ArrayList,The memory location of the reference object,"Is an ArrayList an object? Yep, yep it is.",answer3
What exception will occur if you try to access item 10 in an array using [10]?,IndexOutOfBounds,NumberFormatException,ExceptionalException,I think it is also a penalty in American football games.,answer1
"What is wrong with this . . .HashMap<integer>, <String> harryHasherson = new HashMap<integer>, <String>();",copy right infringement,HashMaps can't be used with two different data types,HashMaps can't use primitive data types,"You don't really need a hint, you got this!",answer3
What does OOP stand for?,Olive Oil Plus,Ohm Ohm Pop,Object Oriented Programming,I'm pretty sure it has something to do with programming.,answer3
Which loop would you use with an uncertain number of inputs?,while loop,for loop,for each loop,"While you're trying to figure this one out, I'll just hang on to this treasure.",answer1
With which type of loops can you use a 'break' command?,for,switch,for and switch,I'm running out of hints.,answer3
Do you need to instantiate a new instance of a static class?,no,yes,sometimes,String,answer1
How should you access private instance variables?,"you shouldn't, they are private",with getter methods,the same way you access public variables,String,answer2
How many constructors can a class have?,only one,up to 5,As many as it needs,String,answer3
What would be the output: System.out.println('2' + 2 + 3);,7,5,25,String,answer3
"If you don't define a constructor for your class, Java will define a default constrcutor for you",TRUE,FALSE,You don't really need a third option.,String,answer1
